2470001	Leclerc	SAS PETRO-EST LECLERC NEUILLY
2480002	Carrefour Contact	Carrefour contact
2500001	Auchan	AUCHAN
2500003	Leclerc	SODHIRS
2500004	TotalEnergies Access	RELAIS HIRSON DE GAULLE
2580002	Gulf	GULF ETREAUPONT
2600004	Avia	RELAIS DU MOULIN SARL
2600005	TotalEnergies	AUTOMOBILES VILLERS SERVICES
2600006	Carrefour Market	Carrefour Market
2603001	Leclerc	SAS PETRO-EST LECLERC VILLERS
2620001	Gulf	GULF BUIRONFOSSE
2690002	TotalEnergies	RELAIS URVILLERS
2700001	TotalEnergies	LE RELAIS DE PARIS
2800003	Leclerc	SAS PETRO-EST LECLERC BEAUTOR
2800004	Carrefour Contact	Carrefour Contact
2860001	TotalEnergies	GARAGE PETETIN
2870001	Gulf	GULF CREPY
2880001	Roady	AUTOPIECE
3000001	Carrefour	CARREFOUR MOULINS
3000003	Leclerc	SA AVERMES DISTRIBUTION
3000004	TotalEnergies	Dubois-Dallois Station TOTAL
3000005	Intermarché	INTERMARCHE MOULINS
3000006	Leclerc	Station les portes de l'Allier - SAS Avermes Distribution
3100001	Carrefour	CARREFOUR MONTLUCON
3100002	TotalEnergies	Relais Lagarde Montluçon
3100005	Leclerc	Marais-Dis
3100006	Avia	Avia
3100007	Leclerc	LECLERC EXPRESS
3100008	Intermarché	INTERMARCHE MONTLUCON
3100009	ENI	ENI FRANCE  RELAIS SAINT JEAN
3100010	Intermarché	INTERMARCHE MONTLUCON
3110001	TotalEnergies	Charmeil
3110003	Avia	STATION AVIA
3120001	ENI	AGIP LAPALISSE - STATION CANTAT
3120003	Intermarché	INTERMARCHE LAPALISSE
3120004	TotalEnergies Access	Aire des verites
3120005	Indépendant sans enseigne	LAPALISSE ESSENCE
3120006	Carrefour Market	CARREFOUR MARKET LAPALISSE
3130002	Dyneff	STATION DONJONNAISE
3150001	TotalEnergies	Relais Lagarde Varennes
3150005	Carrefour Market	Carrefour Market
3150006	Avia	RELAIS DU VAL D'ALLIER
3150007	None	PowerFuel 24/24 - LIDL
3150008	Avia	AVIA XPRESS VARENNES SUR ALLIER
3160001	Carrefour Market	Market
3170001	Avia	Avia
3190005	Carrefour Contact	CARREFOUR CONTACT VALLON EN SULLY
3200002	TotalEnergies	Relais Total du Vernet
3200003	TotalEnergies	Relais de Gramont
3200005	Carrefour	CARREFOUR VICHY
3210001	Intermarché Contact	INTERMARCHE CONTACT  SOUVIGNY
3240003	TotalEnergies	relais de DEUX CHAISES
3250002	Intermarché	INTERMARCHE LE MAYET DE MONTAGNE
3260001	Intermarché	INTERMARCHE CONTACT
3270002	Carrefour Market	CARREFOUR MARKET
3290001	Avia	DOMPIERRE SUR BESBRE
3290002	Système U	SUPER U
3290003	Esso	ESSO GARAGE MICHAUD
3300001	Carrefour Market	Carrefour Market
3300002	TotalEnergies	Relais Lagarde Cusset
3300003	Carrefour	CARREFOUR
3300004	Indépendant sans enseigne	PETROL LES ANCISES
3310002	Intermarché	SARL ADOL NERIS LES BAINS
3320001	Avia	AVIA XPRESS
3350002	Carrefour Contact	CARREFOUR CONTACT
3360001	Intermarché	Intermarché
3380001	TotalEnergies	Mr BOUTILLON BERNARD
3380002	Intermarché Contact	INTERMARCHE HURIEL
3390003	Carrefour Market	CARREFOUR MARKET
3390004	ENI	sas mpm - ENI
3390005	Avia	Avia Montmarault
3400001	TotalEnergies	Relais Lagarde Yzeure
3400003	Avia	RELAIS BEAU SOLEIL
3400004	Carrefour Market	CARREFOUR MARKET
3400005	Shell	SHELL TOULON
3400006	Fulli	Fulli - Aire du Bourbonnais A79
3410001	Auchan	AUCHAN CARBURANT MONTLUCON DOMERAT
3410004	ENI	EURL BITEZ
3410007	Esso Express	ESSO EXPRESS DOMERAT TERRE NEUVE
3410008	Leclerc	LECLERC CHATEAUGAY
3410009	Leclerc	LECLERC LA LOUE
3430001	Carrefour Market	Market
3450001	Indépendant sans enseigne	CMN
3500002	Carrefour Market	Carrefour Market
3500003	TotalEnergies	Relais de la Sioule Total Lagarde
3500004	Avia	RELAIS PARIS PYRENEES
3500005	Colruyt	DATS ST POURCAIN SUR SIOULE
3500006	TotalEnergies Access	Station total access Relais des Beaumenus
3600001	Carrefour Market	Carrefour Market
3600003	Intermarché	INTERMARCHE COMMENTRY MALICORNE
3600004	TotalEnergies	STATION TOTAL ROCHE PETROLIER
